,date,Dry_Bulb_Temp,Wet_Bulb_Temp,Dew_Point_Temp,R_H,Vapor_Pressure,Wind_Speed,Total_Amount_cloud,Daily_Min_Temp,Sunshine_Hours,Amt_Individual_Layer_Cloud,Evaporation,Daily_Max_Temp,Total_Rainfall
15,1969-01-16,15.3,11.8,8.7,64.5,11.35,7.0,2.0,11.1,10.3,902.0,75.0,29.4,4.0
16,1969-01-17,15.8,13.399999999999999,11.5,75.5,13.75,3.0,2.0,12.4,9.7,902.0,89.5,29.4,4.0
17,1969-01-18,17.6,16.1,15.15,85.5,17.2,4.0,3.0,14.6,9.3,635.5,53.5,28.1,1.0
18,1969-01-19,16.9,15.3,14.2,84.0,16.2,9.0,0.0,14.0,10.1,900.0,99.0,28.4,0.0
19,1969-01-20,16.700000000000003,14.4,12.75,77.5,14.75,7.0,0.0,12.1,10.6,900.0,99.0,27.4,0.0
20,1969-01-21,15.4,13.5,12.1,80.5,14.149999999999999,0.0,0.0,11.6,10.4,900.0,99.0,27.8,0.0
21,1969-01-22,16.0,13.8,12.15,78.0,14.15,5.0,0.0,12.5,10.2,900.0,99.0,28.4,0.0
22,1969-01-23,16.2,13.2,10.85,70.5,13.0,0.0,1.0,12.6,10.2,901.0,89.5,28.4,2.0
23,1969-01-24,14.9,12.0,9.55,70.5,11.95,2.0,1.5,12.1,9.8,901.5,87.0,28.7,3.0
24,1969-01-25,14.0,11.0,8.3,69.0,10.95,2.0,2.0,11.7,10,902.0,77.5,29.5,4.0
25,1969-01-26,15.0,11.1,7.550000000000001,61.0,10.399999999999999,2.0,1.0,11.6,10.2,901.0,87.0,30.4,2.0
26,1969-01-27,15.3,11.0,7.0,58.0,10.0,2.0,0.0,11.9,10.3,900.0,99.0,31.1,0.0
27,1969-01-28,17.2,12.1,7.5,53.5,10.4,5.0,0.5,12.9,10.2,900.5,89.5,31.5,1.0
28,1969-01-29,16.2,13.2,10.8,71.0,12.95,2.0,0.5,13.1,10.2,900.5,89.5,30.8,1.0
29,1969-01-30,16.6,11.6,7.050000000000001,53.5,10.05,4.0,1.0,12.6,9.9,901.0,87.0,31.1,2.0
30,1969-01-31,16.3,11.4,6.9,53.5,9.95,2.0,0.5,12.5,10,900.5,89.5,31.6,1.0
31,1969-02-01,16.2,12.3,9.0,62.0,10.3,1.0,2.0,13.7,9.3,902.0,87.0,33.0,4.0
32,1969-02-02,17.6,15.5,14.05,80.0,16.1,4.0,4.0,15.3,9.3,904.0,80.0,33.0,8.0
33,1969-02-03,18.6,15.0,12.4,72.0,14.65,1.0,5.5,14.7,9.7,917.5,71.0,33.0,5.0
34,1969-02-04,16.8,13.1,10.15,64.5,12.399999999999999,8.0,3.5,14.7,10.5,903.5,80.0,32.9,7.0
35,1969-02-05,19.7,15.7,12.95,65.0,14.8,7.0,0.0,13.9,10.5,900.0,99.0,33.7,0.0
36,1969-02-06,17.0,12.8,9.15,61.0,11.6,2.0,0.0,13.1,10.7,900.0,99.0,33.0,0.0
37,1969-02-07,18.9,14.7,11.600000000000001,63.0,13.65,8.0,0.5,13.4,10.8,915.5,80.5,32.4,1.0
38,1969-02-08,16.5,13.5,11.1,71.0,13.35,0.0,3.0,13.0,10.4,903.0,89.5,31.3,6.0
39,1969-02-09,18.1,14.1,11.1,64.0,13.2,5.0,0.5,14.2,10.4,900.5,89.5,30.9,1.0
40,1969-02-10,17.6,12.7,8.55,55.5,11.100000000000001,6.0,0.0,14.1,10.5,900.0,99.0,32.4,0.0
41,1969-02-11,18.2,12.9,8.45,53.0,11.05,2.0,0.0,16.0,10.6,900.0,99.0,33.0,0.0
42,1969-02-12,20.8,14.0,8.399999999999999,45.5,11.0,6.0,0.0,15.7,10.3,900.0,99.0,33.8,0.0
43,1969-02-13,23.4,15.0,8.3,38.0,10.9,8.0,0.0,19.1,8.2,900.0,99.0,34.4,0.0
44,1969-02-14,19.5,15.7,12.799999999999999,67.5,15.100000000000001,8.0,1.5,17.4,10.5,901.5,80.0,30.8,3.0
45,1969-02-15,19.7,16.4,14.1,71.5,16.200000000000003,11.0,2.0,17.0,10.2,635.5,53.0,30.5,1.0
46,1969-02-16,20.5,16.8,14.45,68.0,16.5,13.0,1.0,17.4,10.6,915.5,79.5,30.5,1.0
47,1969-02-17,21.0,18.6,17.25,79.5,19.700000000000003,7.0,0.5,17.9,10.7,915.5,80.5,31.7,1.0
